Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2601       3525       0          2235       1.36
structure_refs      953        121        0          3          0.13
biomes              953        216        0          149        0.23
terrain             953        1701       1          114        1.78
surface             953        567        0          14         0.59
air_carvers         953        5042       1          156        5.29
fluid_carvers       953        20         0          1          0.02
decoration          819        5861       2          203        7.16
mob_spawns          701        14         0          3          0.02
structure_searches  0          0          0          0          0.00
Sum                                                             16.58
